,map_unit_id,b_trigger,b_sage_cover,b_shrub_cover,b_cover,b_forb_cover,b_forb_rich,b_foraging,b_pre_mod,b_brotec_cover,b_site_scale,b_local_scale,b_score,b_facres,l_forb_cover,l_forb_rich,l_foraging,l_grass_cover,l_cover,l_pre_mod,l_brotec_cover,l_dist_sage,l_site_scale,l_local_scale,l_score,l_facres,w_sage_height,w_sage_cover,w_site_scale,w_local_scale,w_score,w_facres
0,1,1.0,0.0,0.0,0.0,0.76,0.8,0.78,0.39,0.0,0.0,0.707851543740923,0.0,0.0,0.95,0.81,0.8799999999999999,1.0,1.0,0.9099999999999999,0.0,1.0,0.0,0.701359662741895,0.0,0.0,0.71,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653
1,2,0.0,0.0,0.0,TRIGGER,1.0,0.8,0.9,0.0,0.68,0.0,0.68879386144025,0.0,0.0,1.0,0.81,0.9049999999999999,0.0,0.0,0.67875,0.68,1.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.55,0.0,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038
2,3,1.0,1.0,0.86,0.916,1.0,0.92,0.96,0.938,0.23,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,1.0,0.92,0.96,0.95,0.95,0.9575,0.23,1.0,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,1.0,1.0,0.397554729338879,0.397554729338879,334.8711601025131
3,4,1.0,0.73,0.84,0.796,0.0,0.9,0.45,0.623,0.0,0.0,0.48458669615804,0.0,0.0,0.0,0.9,0.45,0.83,0.83,0.545,0.0,1.0,0.0,0.695553981572084,0.0,0.0,1.0,0.75,0.875,0.288295072643563,0.25225818856311766,71.91616359797918
4,5,1.0,0.0,0.0,0.0,0.89,0.92,0.905,0.4525,0.01,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.81,0.92,0.8650000000000001,0.78,0.78,0.84375,0.01,1.0,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.42,0.0,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887
5,6,0.0,0.0,0.36,TRIGGER,0.0,1.0,0.5,0.0,0.0,0.0,0.552023011777136,0.0,0.0,0.0,1.0,0.5,0.56,0.56,0.515,0.0,1.0,0.0,0.708235223801748,0.0,0.0,1.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438
6,7,0.0,0.0,0.0,TRIGGER,0.0,0.75,0.375,0.0,0.0,0.0,0.438047316931132,0.0,0.0,0.0,0.75,0.375,0.7,0.7,0.45625,0.0,1.0,0.0,0.658609137171997,0.0,0.0,1.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714
7,8,0.0,0.0,0.52,TRIGGER,0.0,0.75,0.375,0.0,0.0,0.0,0.507174769809487,0.0,0.0,0.0,0.75,0.375,0.48,0.48,0.40125,0.0,1.0,0.0,0.696951615597521,0.0,0.0,1.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653
8,9,,,,,,,,,,,0.256482328687395,,,,,,,,,,,,0.697399096829551,,,,,,0.223125653607505,,
9,10,1.0,0.73,0.52,0.604,0.0,0.45,0.225,0.4145,0.0,0.0,0.544326251414702,0.0,0.0,0.0,0.45,0.225,0.81,0.81,0.37125,0.0,1.0,0.0,0.761688972245666,0.0,0.0,1.0,0.75,0.875,0.332354813181493,0.2908104615338064,243.7738165603205
