,map_unit_id,map_unit_name,meadow,map_unit_area,breed_pre,current_breed_pre,breed_overall_pre,breed_facres_pre,summer_pre,current_summer_pre,summer_overall_pre,summer_facres_pre,winter_pre,current_winter_pre,winter_overall_pre,winter_facres_pre,breed_post,current_breed_post,breed_overall_post,breed_facres_post,summer_post,current_summer_post,summer_overall_post,summer_facres_post,winter_post,current_winter_post,winter_overall_post,winter_facres_post,breed_delta,summer_delta,winter_delta,mgmt_multiplier,meadow_multiplier,breed_credits,summer_credits,winter_credits,habitat_type,credits,total_contribution,reserve_credits,saleable_credits
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,0,0.707851544,0,0,0,0.701359663,0,0,0.355,0.432789518,0.153640279,78.97849822,0.2379,0.707851544,0.168397882,86.56461655,0.5551,0.701359663,0.389324749,200.1316593,0.355,0.432789518,0.153640279,78.97849822,86.56461655,200.1316593,0,1.200000021,0,103.8775417,240.1579954,0,Late Brood-Rearing,240.1579954,0.11,26.41737949,213.7406159
1,2,First Creek Meadow-U,Unaltered,4.547157718,0,0.688793861,0,0,0.46155,0.699352721,0.322786248,1.46775998,0.275,0.360467275,0.099128501,0.450752926,,0.688793861,,,,0.699352721,,,,0.360467275,,,,,,1.2,8,,,,None,,0.11,,
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,0.21574,0.694079117,0.149740629,126.1306039,0.220225,0.701220452,0.154426274,130.0774503,1,0.397554729,0.397554729,334.8711601,,0.694079117,,,,0.701220452,,,,0.397554729,,,,,,1.200000013,0,,,,None,,0.11,,
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,0,0.484586696,0,0,0,0.695553982,0,0,0.875,0.288295073,0.252258189,71.9161636,0.53253,0.484586696,0.258056953,73.5693306,0.5612,0.695553982,0.390344894,111.283235,0.875,0.288295073,0.252258189,71.9161636,73.5693306,111.283235,0,1.2,0,88.28319672,133.5398821,0,Late Brood-Rearing,133.5398821,0.11,14.68938703,118.850495
4,5,NFLH Channel-U,Unaltered,25.47470026,0.004525,0.540333126,0.002445007,0.062285831,0.0084375,0.69174873,0.00583663,0.148686397,0.21,0.279646056,0.058725672,1.496018887,0.276025,0.540333126,0.149145451,3.799435662,0.5146875,0.69174873,0.356034424,9.069870241,0.21,0.279646056,0.058725672,1.496018887,3.737149832,8.921183843,0,1.2,8,4.484579798,82.07489136,0,Late Brood-Rearing,82.07489136,0.11,9.02823805,73.04665331
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,0,0.552023012,0,0,0,0.708235224,0,0,0.5,0.308739651,0.154369826,11.65973657,0,0.552023012,0,0,0.5429,0.708235224,0.384500903,29.04181059,0.5,0.308739651,0.154369826,11.65973657,0,29.04181059,0,1.2,0,0,34.85017271,0,Late Brood-Rearing,34.85017271,0.11,3.833518998,31.01665371
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,0,0.438047317,0,0,0,0.658609137,0,0,0.5,0.305802925,0.152901462,67.12994955,0,0.438047317,0,0,0.5070625,0.658609137,0.333955996,146.6202402,0.5,0.305802925,0.152901462,67.12994955,0,146.6202402,0,1.199999998,0,0,175.944288,0,Late Brood-Rearing,175.944288,0.11,19.35387168,156.5904163
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,0,0.50717477,0,0,0,0.696951616,0,0,0.5,0.29178079,0.145890395,63.68472191,0,0.50717477,0,0,0.4735125,0.696951616,0.330015302,144.0597424,0.5,0.29178079,0.145890395,63.68472191,0,144.0597424,0,1.2,0,0,172.8716909,0,Late Brood-Rearing,172.8716909,0.11,19.015886,153.8558049
8,9,NFLH Meadow-A,Altered,1.44593919,,0.256482329,,,,0.697399097,,,,0.223125654,,,,0.256482329,,,,0.697399097,,,,0.223125654,,,,,,1.2,8,,,,None,,0.11,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,0,0.544326251,0,0,0,0.761688972,0,0,0.875,0.332354813,0.290810462,243.7738166,0.368745,0.544326251,0.200717584,168.2528584,0.443775,0.761688972,0.338018524,283.3462907,0.875,0.332354813,0.290810462,243.7738166,168.2528584,283.3462907,0,1.200000014,0,201.9034325,340.0155529,0,Late Brood-Rearing,340.0155529,0.11,37.40171082,302.6138421
10,12,SFLH Disturbed Sagebrush,No Meadow,563.3727268,0,0.594238576,0,0,0,0.771864415,0,0,0,0.407927401,0,0,0,0.594238576,0,0,0.44835,0.771864415,0.346065411,194.963814,0,0.407927401,0,0,0,194.963814,0,1.2,0,0,233.9565768,0,Late Brood-Rearing,233.9565768,0.11,25.73522345,208.2213534
11,13,SFLH Greasewood Mix 2,No Meadow,58.94992104,0.225,0.544409773,0.122492199,7.220905449,0.15795,0.794930155,0.125559218,7.401705981,1,0.218706858,0.218706858,12.892752,0.2709,0.544409773,0.147480607,8.693970161,0.2376,0.794930155,0.188875405,11.13419019,1,0.218706858,0.218706858,12.892752,1.473064712,3.732484213,0,1.200000074,0,1.767677762,4.47898133,0,Late Brood-Rearing,4.47898133,0.11,0.492687946,3.986293384
12,14,SFLH Meadow-A,Altered,149.6917473,0.3625,0.479607223,0.173857618,26.02505069,0.193205894,0.710820992,0.137334805,20.55788692,0,0.114365791,0,0,,0.479607223,,,,0.710820992,,,,0.114365791,,,,,,1.2,8,,,,None,,0.11,,
13,15,SFLH Meadow-U,Unaltered,30.50475985,0.45,0.5187126,0.23342067,7.120441484,0.92875,0.773485828,0.718374963,21.91385573,0,0.224713466,0,0,,0.5187126,,,,0.773485828,,,,0.224713466,,,,,,1.2,8,,,,None,,0.11,,
14,16,SFLH Sodic Mix 1,No Meadow,34.59620489,0,0.560575493,0,0,0.49375,0.796757874,0.3933992,13.61011933,0,0.230499981,0,0,0,0.560575493,0,0,0.49375,0.796757874,0.3933992,13.61011933,0,0.230499981,0,0,0,0,0,1.200000072,0,0,0,0,None,0,0.11,0,0
15,17,Snowstorm Mountains Disturbed Sagebrush,No Meadow,1004.239271,0.518,0.707781694,0.366630918,368.1851655,1,0.700099377,0.700099377,703.0672882,0.315,0.442046501,0.139244648,139.8349437,,0.707781694,,,,0.700099377,,,,0.442046501,,,,,,1.2,0,,,,None,,0.11,,
16,18,Snowstorm Mountains Meadow-U,Unaltered,14.13400536,0,0.702529814,0,0,0,0.703906846,0,0,0,0.448981609,0,0,0.22875,0.702529814,0.160703695,2.271386885,0.422425,0.703906846,0.29734785,4.2027161,0,0.448981609,0,0,2.271386885,4.2027161,0,1.2,8,2.725664262,38.66498812,0,Late Brood-Rearing,38.66498812,0.11,4.253148693,34.41183943
17,19,Snowstorm Mountains Mountain Sagebrush Mix,No Meadow,1525.225901,0.95,0.686484173,0.652159964,994.6912692,0.92875,0.697558602,0.647857552,988.1291178,1,0.385346638,0.385346638,587.7406738,,0.686484173,,,,0.697558602,,,,0.385346638,,,,,,1.2,0,,,,None,,0.11,,
18,28,Spring Creek Big Sagebrush,No Meadow,1308.039248,0.209025,0.710794251,0.148573768,194.3403202,0.2233125,0.694208875,0.155025519,202.7794638,0.875,0.436887034,0.382276155,500.0322141,0.294525,0.710794251,0.209346677,273.8336697,0.383625,0.694208875,0.26631588,348.351623,0.875,0.436887034,0.382276155,500.0322141,79.49334951,145.5721592,0,1.2,0,95.39201941,174.686591,0,Late Brood-Rearing,174.686591,0.11,19.21552501,155.471066
19,29,Spring Creek Big Sagebrush Bottom,No Meadow,125.1947221,0,0.752501442,0,0,0,0.706635919,0,0,0.975,0.455495158,0.444107779,55.59994998,0.472445,0.752501442,0.355515544,44.50866968,0.459025,0.706635919,0.324363553,40.60860483,0.975,0.455495158,0.444107779,55.59994998,44.50866968,40.60860483,0,1.2,0,53.41040361,48.7303258,0,Breeding,53.41040361,0.11,5.875144398,47.53525922
20,31,Spring Creek Disturbed Sagebrush,No Meadow,446.5607843,0,0.704653707,0,0,0,0.703476766,0,0,0.34,0.481693049,0.163775637,73.13577669,0,0.704653707,0,0,0.443775,0.703476766,0.312185402,139.4097579,0.34,0.481693049,0.163775637,73.13577669,0,139.4097579,0,1.2,0,0,167.2917094,0,Late Brood-Rearing,167.2917094,0.11,18.40208804,148.8896214
21,32,Spring Creek Disturbed Sagebrush 2,No Meadow,373.9286888,0,0.709670637,0,0,0,0.710093302,0,0,0,0.47126811,0,0,0,0.709670637,0,0,0.312625,0.710093302,0.221992919,83.00952098,0,0.47126811,0,0,0,83.00952098,0,1.2,0,0,99.61142518,0,Late Brood-Rearing,99.61142518,0.11,10.95725677,88.65416841
22,33,Spring Creek Greasewood Mix,No Meadow,204.8487452,0,0.682096362,0,0,0,0.652195738,0,0,0,0.240438635,0,0,0,0.682096362,0,0,0.4384375,0.652195738,0.285947069,58.57589829,0,0.240438635,0,0,0,58.57589829,0,1.2,0,0,70.29107794,0,Late Brood-Rearing,70.29107794,0.11,7.732018574,62.55905937
23,34,Spring Creek Meadow-U,Unaltered,5.310591067,0.4125,0.767870913,0.316746752,1.68211247,0.87625,0.730830561,0.640390279,3.400850893,0,0.480089059,0,0,,0.767870913,,,,0.730830561,,,,0.480089059,,,,,,1.2,8,,,,None,,0.11,,
24,35,Twentyone Creek Big Sagebrush,No Meadow,249.9146028,0.173995,0.642108005,0.111723582,27.92135469,0.170775,0.675180298,0.115303915,28.81613221,1,0.403483919,0.403483919,100.8365233,0.498065,0.642108005,0.319811523,79.92556982,0.50325,0.675180298,0.339784485,84.91710459,1,0.403483919,0.403483919,100.8365233,52.00421514,56.10097237,0,1.2,0,62.40505817,67.32116685,0,Late Brood-Rearing,67.32116685,0.11,7.405328353,59.9158385
