map_unit_id,map_unit_area,proj_credits,current_credits,uplift
1,514.0481305,240.1579954,0,240.1579954
2,4.547157718,,4.726406559,0
3,842.3271952,,160.7381586,0
4,285.0895109,133.5398821,27.12266741,106.4172147
5,25.47470026,82.07489136,0,82.07489136
6,75.53118956,34.85017271,0,34.85017271
7,439.0405986,175.944288,0,175.944288
8,436.5244326,172.8716909,0,172.8716909
9,1.44593919,,,0
10,838.2566957,340.0155529,91.93755478,248.0779981
12,563.3727268,233.9565768,0,233.9565768
13,58.94992104,4.47898133,6.188521341,0
14,149.6917473,,5.384493246,0
15,30.50475985,,136.4852742,0
16,34.59620489,0,6.408816068,0
17,1004.239271,,590.5765221,0
18,14.13400536,38.66498812,0,38.66498812
19,1525.225901,,816.6938842,0
28,1308.039248,174.686591,188.5835779,0
29,125.1947221,53.41040361,25.66151538,27.74888823
31,446.5607843,167.2917094,0,167.2917094
32,373.9286888,99.61142518,0,99.61142518
33,204.8487452,70.29107794,0,70.29107794
34,5.310591067,,20.57587562,0
35,249.9146028,67.32116685,48.40153119,18.91963566
36,500.348959,132.1272845,0,132.1272845
37,22.94827031,45.4498352,0,45.4498352
38,142.5343219,32.94843986,0,32.94843986
39,364.4585975,,,0
40,154.0384046,45.72897042,0,45.72897042
42,154.2289465,55.66379515,0,55.66379515
